index,Name,OMXName
133,vc_bt_bt_16_speech_proc,OMX.ST.AFM.speech_proc
134,vc_tty_tty_8_speech_proc,OMX.ST.AFM.speech_proc
135,vc_tty_tty_16_speech_proc,OMX.ST.AFM.speech_proc
136,vc_usb_usb_8_speech_proc,OMX.ST.AFM.speech_proc
137,vc_usb_usb_16_speech_proc,OMX.ST.AFM.speech_proc
138,vc_mic_speaker_extra_8_speech_proc,OMX.ST.AFM.speech_proc
139,vc_mic_speaker_extra_16_speech_proc,OMX.ST.AFM.speech_proc
140,vc_mic_earpiece_extra_8_speech_proc,OMX.ST.AFM.speech_proc
141,vc_mic_earpiece_extra_16_speech_proc,OMX.ST.AFM.speech_proc
142,vc_mic_btec_8_speech_proc,OMX.ST.AFM.speech_proc
143,vc_mic_btec_16_speech_proc,OMX.ST.AFM.speech_proc
144,vt_mic_btec_8_speech_proc,OMX.ST.AFM.speech_proc
145,vt_mic_btec_16_speech_proc,OMX.ST.AFM.speech_proc
146,voip_mic_btec_16_speech_proc,OMX.ST.AFM.speech_proc
147,vc_mic_bt_8_speech_proc,OMX.ST.AFM.speech_proc
148,vc_mic_bt_16_speech_proc,OMX.ST.AFM.speech_proc
149,vt_mic_bt_8_speech_proc,OMX.ST.AFM.speech_proc
150,vt_mic_bt_16_speech_proc,OMX.ST.AFM.speech_proc
151,voip_mic_bt_16_speech_proc,OMX.ST.AFM.speech_proc
152,vc_mic_speaker_8_speech_proc,OMX.ST.AFM.speech_proc
153,vc_mic_speaker_16_speech_proc,OMX.ST.AFM.speech_proc
154,vt_mic_speaker_8_speech_proc,OMX.ST.AFM.speech_proc
155,vt_mic_speaker_16_speech_proc,OMX.ST.AFM.speech_proc
156,voip_mic_speaker_16_speech_proc,OMX.ST.AFM.speech_proc
157,vc_mic_headset_8_speech_proc,OMX.ST.AFM.speech_proc
158,vc_mic_headset_16_speech_proc,OMX.ST.AFM.speech_proc
159,vt_mic_headset_8_speech_proc,OMX.ST.AFM.speech_proc
160,vt_mic_headset_16_speech_proc,OMX.ST.AFM.speech_proc
161,voip_mic_headset_4pole_speech_proc,OMX.ST.AFM.speech_proc
162,voip_mic_headset_3pole_speech_proc,OMX.ST.AFM.speech_proc
163,vc_mic_earpiece_8_speech_proc,OMX.ST.AFM.speech_proc
164,vc_mic_earpiece_16_speech_proc,OMX.ST.AFM.speech_proc
165,vt_mic_earpiece_8_speech_proc,OMX.ST.AFM.speech_proc
166,vt_mic_earpiece_16_speech_proc,OMX.ST.AFM.speech_proc
167,voip_mic_earpiece_16_speech_proc,OMX.ST.AFM.speech_proc
168,ref_speaker_common_spl,OMX.ST.AFM.pcmprocessing.spl
169,ref_speaker_extra_common_spl,OMX.ST.AFM.pcmprocessing.spl
170,ref_hset_out_common_spl,OMX.ST.AFM.pcmprocessing.spl
171,ref_earpiece_common_spl,OMX.ST.AFM.pcmprocessing.spl
172,ref_earpiece_extra_common_spl,OMX.ST.AFM.pcmprocessing.spl
