index,Name,TemplateName,Position
47,voip_mic_btec_16_out,voip_mic_btec_16_out_treq,1
48,voip_mic_btec_16_out,voip_mic_btec_16_out_cng,2
49,vc_mic_bt_8_in,vc_mic_bt_8_in_treq,1
50,vc_mic_bt_8_out,vc_mic_bt_8_out_treq,1
51,vc_mic_bt_8_out,vc_mic_bt_8_out_cng,2
52,vc_mic_bt_16_in,vc_mic_bt_16_in_treq,1
53,vc_mic_bt_16_out,vc_mic_bt_16_out_treq,1
54,vc_mic_bt_16_out,vc_mic_bt_16_out_cng,2
55,vt_mic_bt_8_in,vt_mic_bt_8_in_treq,1
56,vt_mic_bt_8_out,vt_mic_bt_8_out_treq,1
57,vt_mic_bt_8_out,vt_mic_bt_8_out_cng,2
58,vt_mic_bt_16_in,vt_mic_bt_16_in_treq,1
59,vt_mic_bt_16_out,vt_mic_bt_16_out_treq,1
60,vt_mic_bt_16_out,vt_mic_bt_16_out_cng,2
61,voip_mic_bt_16_in,voip_mic_bt_16_in_treq,1
62,voip_mic_bt_16_out,voip_mic_bt_16_out_treq,1
63,voip_mic_bt_16_out,voip_mic_bt_16_out_cng,2
64,vc_mic_speaker_8_in,vc_mic_speaker_8_in_treq,1
65,vc_mic_speaker_8_out,vc_mic_speaker_8_out_treq,1
66,vc_mic_speaker_8_out,vc_mic_speaker_8_out_cng,2
67,vc_mic_speaker_16_in,vc_mic_speaker_16_in_treq,1
